Date,ProductID,BatchID,Status
14-03-2024,Product 4,B-1013,Pass
11-03-2024,Product 3,B-1014,Fail
02-03-2024,Product 4,B-1006,Pass
15-03-2024,Product 8,B-1009,Pass
07-03-2024,Product 9,B-1005,Pass
26-05-2024,Product 1,B-1014,Pass
08-02-2024,Product 3,B-1011,Pass
17-03-2024,Product 9,B-1014,Pass
03-01-2024,Product 2,B-1006,Pass
01-03-2024,Product 2,B-1012,Pass
03-04-2024,Product 9,B-1015,Pass
04-03-2024,Product 4,B-1010,Pass
10-05-2024,Product 10,B-1005,Pass
01-01-2024,Product 5,B-1019,Pass
09-05-2024,Product 9,B-1006,Pass
12-05-2024,Product 7,B-1021,Pass
28-04-2024,Product 10,B-1006,Pass
15-04-2024,Product 4,B-1028,Pass
18-05-2024,Product 7,B-1026,Pass
10-02-2024,Product 6,B-1001,Pass
31-03-2024,Product 5,B-1013,Pass
05-01-2024,Product 4,B-1028,Pass
24-04-2024,Product 4,B-1012,Pass
03-01-2024,Product 1,B-1017,Pass
21-04-2024,Product 4,B-1019,Pass
12-01-2024,Product 7,B-1002,Pass
30-04-2024,Product 8,B-1021,Pass
24-03-2024,Product 1,B-1006,Pass
01-01-2024,Product 7,B-1028,Pass
22-03-2024,Product 7,B-1013,Pass
06-04-2024,Product 3,B-1030,Pass
11-03-2024,Product 6,B-1014,Pass
08-02-2024,Product 9,B-1012,Pass
19-02-2024,Product 8,B-1013,Pass
19-01-2024,Product 4,B-1011,Pass
16-01-2024,Product 2,B-1014,Pass
02-05-2024,Product 1,B-1025,Fail
19-05-2024,Product 4,B-1010,Pass
19-02-2024,Product 7,B-1007,Pass
22-03-2024,Product 9,B-1030,Pass
26-02-2024,Product 1,B-1006,Pass
15-04-2024,Product 8,B-1027,Pass
17-01-2024,Product 10,B-1017,Pass
25-03-2024,Product 9,B-1008,Pass
16-02-2024,Product 6,B-1002,Pass
06-05-2024,Product 4,B-1005,Pass
18-03-2024,Product 9,B-1019,Pass
31-01-2024,Product 2,B-1007,Pass
09-05-2024,Product 1,B-1023,Pass
15-04-2024,Product 10,B-1017,Pass
22-05-2024,Product 6,B-1008,Pass
03-05-2024,Product 10,B-1022,Pass
19-04-2024,Product 5,B-1012,Pass
07-02-2024,Product 8,B-1010,Pass
20-03-2024,Product 5,B-1027,Pass
12-04-2024,Product 3,B-1022,Pass
19-02-2024,Product 7,B-1024,Pass
17-03-2024,Product 7,B-1027,Pass
15-01-2024,Product 6,B-1008,Pass
01-01-2024,Product 5,B-1016,Pass
22-02-2024,Product 7,B-1022,Pass
24-01-2024,Product 9,B-1009,Pass
15-03-2024,Product 4,B-1008,Pass
19-05-2024,Product 6,B-1017,Pass
27-01-2024,Product 4,B-1028,Pass
04-03-2024,Product 7,B-1013,Pass
21-03-2024,Product 9,B-1003,Pass
14-02-2024,Product 9,B-1005,Pass
10-02-2024,Product 5,B-1005,Pass
14-05-2024,Product 10,B-1002,Pass
25-05-2024,Product 4,B-1009,Pass
14-01-2024,Product 3,B-1023,Fail
28-05-2024,Product 4,B-1014,Pass
03-02-2024,Product 8,B-1006,Pass
28-03-2024,Product 9,B-1004,Pass
17-04-2024,Product 3,B-1016,Pass
02-04-2024,Product 6,B-1009,Fail
